date,PHM,TOL
2023-03-08 05:00:00,54.75,59.53
2023-03-09 05:00:00,54.44,58.29
2023-03-10 05:00:00,53.47,57.37
2023-03-13 04:00:00,54.21,57.4
2023-03-14 04:00:00,55.02,58.48
2023-03-15 04:00:00,54.62,57.42
2023-03-16 04:00:00,55.96,58.78
2023-03-17 04:00:00,55.42,57.67
2023-03-20 04:00:00,55.36,57.56
2023-03-21 04:00:00,55.82,58.26
2023-03-22 04:00:00,55.93,57.8
2023-03-23 04:00:00,56.39,58.31
2023-03-24 04:00:00,56.66,58.42
2023-03-27 04:00:00,56.55,58.49
2023-03-28 04:00:00,57.27,58.9
2023-03-29 04:00:00,57.15,59.42
2023-03-30 04:00:00,56.78,58.74
2023-03-31 04:00:00,58.28,60.03
2023-04-03 04:00:00,59.0,60.32
2023-04-04 04:00:00,58.42,59.1
2023-04-05 04:00:00,58.63,58.55
2023-04-06 04:00:00,57.84,57.8
2023-04-10 04:00:00,58.33,58.01
2023-04-11 04:00:00,59.76,59.5
2023-04-12 04:00:00,59.75,59.47
2023-04-13 04:00:00,59.21,59.77
2023-04-14 04:00:00,60.14,60.01
2023-04-17 04:00:00,60.59,60.48
2023-04-18 04:00:00,62.59,62.11
2023-04-19 04:00:00,62.44,61.87
2023-04-20 04:00:00,62.81,62.49
2023-04-21 04:00:00,62.83,61.83
2023-04-24 04:00:00,63.86,62.2
2023-04-25 04:00:00,64.95,62.15
2023-04-26 04:00:00,64.63,61.36
2023-04-27 04:00:00,66.27,63.04
2023-04-28 04:00:00,67.15,63.91
2023-05-01 04:00:00,65.78,63.17
2023-05-02 04:00:00,65.77,62.94
2023-05-03 04:00:00,66.49,63.77
2023-05-04 04:00:00,66.37,62.48
2023-05-05 04:00:00,67.02,63.48
2023-05-08 04:00:00,67.78,64.24
2023-05-09 04:00:00,67.73,64.8
2023-05-10 04:00:00,67.8,64.58
2023-05-11 04:00:00,68.12,64.96
2023-05-12 04:00:00,68.43,64.21
2023-05-15 04:00:00,68.55,64.85
2023-05-16 04:00:00,69.36,65.33
